Session start,Question 1,Question 2,Question 3,Question 4,Question 5,Question 6,Question 7,Question 8,Question 9,Session end,Session source
2019-05-30 14:47,3,3,3,3,2,2,3,2,4,2019-05-30 14:48,kiosk
2019-05-30 14:59,1,1,1,1,1,4,1,1,4,2019-05-30 15:00,kiosk
2019-05-30 15:00,3,4,4,4,4,1,1,4,1,2019-05-30 15:02,kiosk
2019-05-30 15:12,2,4,3,3,3,3,3,3,3,2019-05-30 15:12,kiosk
2019-05-30 15:20,1,2,3,4,1,4,2,2,1,2019-05-30 15:21,kiosk
2019-05-30 15:31,3,2,3,4,2,2,3,2,4,2019-05-30 15:32,kiosk
2019-05-30 15:38,3,2,1,4,2,3,2,1,2,2019-05-30 15:39,kiosk
2019-05-30 17:22,2,2,2,2,2,2,2,2,1,2019-05-30 17:22,kiosk
2019-05-30 17:23,4,3,2,1,2,3,4,2,2,2019-05-30 17:23,kiosk
2019-05-30 17:53,3,3,1,1,1,1,1,4,1,2019-05-30 17:53,kiosk
2019-05-30 17:53,4,4,4,4,4,1,1,4,1,2019-05-30 17:54,kiosk
2019-05-30 17:57,2,3,4,3,1,1,2,3,4,2019-05-30 17:58,kiosk
2019-05-30 19:29,2,1,2,2,4,2,2,1,2,2019-05-30 19:30,kiosk
2019-05-31 11:03,3,2,1,3,2,1,4,1,1,2019-05-31 11:03,kiosk
2019-05-31 11:22,3,2,3,3,3,2,2,2,1,2019-05-31 11:24,kiosk
2019-05-31 11:27,4,3,2,2,2,2,3,1,4,2019-05-31 11:27,kiosk
2019-05-31 11:28,2,1,2,2,2,2,2,2,3,2019-05-31 11:28,kiosk
2019-05-31 11:49,3,2,3,3,1,3,3,4,2,2019-05-31 11:51,kiosk
2019-05-31 11:49,2,1,3,1,1,3,4,1,3,2019-05-31 11:52,kiosk
2019-05-31 12:22,3,2,2,,,,,,,2019-05-31 12:23,kiosk
2019-05-31 12:23,3,2,1,,,,,,,2019-05-31 12:23,kiosk
2019-05-31 12:29,3,2,1,3,2,4,2,1,2,2019-05-31 12:29,kiosk
2019-05-31 12:36,1,4,1,4,2,1,2,1,1,2019-05-31 12:38,kiosk
2019-05-31 12:46,3,2,1,2,1,4,4,1,4,2019-05-31 12:46,kiosk
2019-05-31 12:51,4,4,4,4,4,1,1,4,1,2019-05-31 12:52,kiosk
2019-05-31 13:09,3,1,1,1,1,4,4,1,4,2019-05-31 13:09,kiosk
2019-05-31 13:21,3,2,1,3,3,1,2,2,2,2019-05-31 13:23,kiosk
2019-05-31 13:39,2,1,2,1,4,1,1,1,1,2019-05-31 13:40,kiosk
2019-05-31 13:40,3,1,1,1,1,3,2,2,3,2019-05-31 13:41,kiosk
2019-05-31 13:40,,,,,,,,,,2019-05-31 13:43,kiosk
2019-05-31 13:54,,,,,,,,,,2019-05-31 13:57,kiosk
2019-05-31 15:14,,,,,,,,,,2019-05-31 15:14,kiosk
,,,,,,,,,,2019-05-31 15:16,kiosk
2019-05-31 15:54,3,4,,,,,,,,2019-05-31 15:56,kiosk
2019-05-31 15:54,2,2,,,,,,,,2019-05-31 15:56,kiosk
2019-05-31 17:27,4,4,4,4,3,4,3,4,3,2019-05-31 17:27,kiosk
2019-06-03 19:05,3,2,3,4,2,2,3,3,3,2019-06-03 19:06,kiosk
2019-06-03 19:16,2,3,,,,,,,,2019-06-03 19:16,kiosk
2019-06-03 20:10,4,2,4,2,3,2,1,3,4,2019-06-03 20:11,kiosk
2019-06-03 20:10,4,2,4,2,3,2,1,3,4,2019-06-03 20:40,kiosk
2019-06-03 19:16,2,3,,,,,,,,2019-06-03 20:40,kiosk
2019-06-03 21:25,3,2,3,4,4,2,1,4,2,2019-06-03 21:26,kiosk
2019-06-03 21:25,4,1,3,1,1,4,1,4,1,2019-06-03 21:26,kiosk
2019-06-03 22:51,2,2,4,3,3,2,3,3,3,2019-06-03 22:54,kiosk
2019-06-03 23:20,3,2,3,3,2,3,2,3,3,2019-06-03 23:22,kiosk
2019-06-03 23:21,4,3,4,4,3,3,1,3,2,2019-06-03 23:22,kiosk
2019-06-03 23:20,3,2,3,3,2,3,2,3,3,2019-06-03 23:40,kiosk
2019-06-04 00:47,2,2,3,2,1,3,3,2,4,2019-06-04 00:48,kiosk
2019-06-04 01:13,3,2,3,2,2,1,,,,2019-06-04 01:17,kiosk
2019-06-04 02:40,3,2,3,3,2,2,2,2,3,2019-06-04 02:41,kiosk
2019-06-04 02:40,3,2,3,3,2,2,2,2,3,2019-06-04 04:31,kiosk
2019-06-04 05:59,4,1,2,1,2,2,2,2,3,2019-06-04 06:01,kiosk
2019-06-04 05:59,4,1,2,1,2,2,2,2,3,2019-06-04 07:04,kiosk
2019-06-04 07:02,,,,,,,,,,2019-06-04 07:04,kiosk
2019-06-04 07:38,2,1,2,3,2,3,3,2,4,2019-06-04 07:40,kiosk
2019-06-04 08:43,2,2,3,1,1,3,4,2,4,2019-06-04 08:45,kiosk
2019-06-04 12:03,3,2,3,4,2,2,2,3,2,2019-06-04 12:05,kiosk
2019-06-04 12:06,,,,,,,,,,2019-06-04 12:08,kiosk
2019-06-04 12:03,3,2,3,4,2,2,2,3,2,2019-06-04 12:25,kiosk
2019-06-04 13:45,3,1,2,2,4,3,2,2,3,2019-06-04 13:47,kiosk
2019-06-04 13:51,3,2,4,2,1,4,1,2,4,2019-06-04 13:52,kiosk
2019-06-04 13:51,2,1,2,2,,,,,,2019-06-04 13:54,kiosk
2019-06-04 14:15,3,1,4,2,2,1,2,3,3,2019-06-04 14:17,kiosk
2019-06-05 00:04,3,3,3,3,2,2,2,2,4,2019-06-05 00:05,kiosk
2019-06-04 13:51,3,2,4,2,1,4,1,2,4,2019-06-05 00:06,kiosk
2019-06-05 07:23,4,3,3,4,3,3,1,2,4,2019-06-05 07:24,kiosk
2019-06-05 07:23,4,2,4,4,2,2,1,2,3,2019-06-05 07:24,kiosk
2019-06-05 10:24,3,2,3,2,3,3,1,4,3,2019-06-05 10:25,kiosk
2019-06-05 07:23,4,3,3,4,3,3,1,2,4,2019-06-05 10:27,kiosk
2019-06-05 11:16,4,2,4,3,4,2,1,4,4,2019-06-05 11:19,kiosk
2019-06-05 11:16,3,2,4,4,2,2,1,2,4,2019-06-05 11:20,kiosk
2019-06-05 11:19,,,,,,,,,,2019-06-05 11:21,kiosk
2019-06-05 11:19,,,,,,,,,,2019-06-05 11:37,kiosk
2019-06-05 12:13,2,1,2,1,1,3,3,2,3,2019-06-05 12:17,kiosk
2019-06-05 12:36,4,2,2,4,2,4,1,3,4,2019-06-05 12:38,kiosk
2019-06-05 12:36,3,2,2,2,2,4,1,3,4,2019-06-05 12:38,kiosk
2019-06-05 12:39,3,2,4,2,3,1,3,2,2,2019-06-05 12:40,kiosk
2019-06-05 12:39,4,1,3,2,3,2,2,3,2,2019-06-05 12:41,kiosk
2019-06-05 12:41,3,2,2,2,3,4,3,1,4,2019-06-05 12:42,kiosk
2019-06-05 12:42,2,1,2,1,1,4,4,1,4,2019-06-05 12:44,kiosk
2019-06-05 12:45,,,,,,,,,,2019-06-05 12:45,kiosk
2019-06-05 12:50,3,3,4,3,2,2,2,3,1,2019-06-05 12:52,kiosk
2019-06-05 12:51,4,2,3,4,2,2,4,2,1,2019-06-05 12:53,kiosk
2019-06-05 12:54,3,1,2,2,2,3,3,2,3,2019-06-05 12:55,kiosk
2019-06-05 12:54,2,1,2,1,2,3,3,1,3,2019-06-05 12:55,kiosk
2019-06-05 12:55,2,1,3,3,3,2,3,2,4,2019-06-05 12:56,kiosk
2019-06-05 12:56,2,1,3,1,2,3,2,1,3,2019-06-05 12:56,kiosk
2019-06-05 12:57,3,1,2,3,1,4,2,1,4,2019-06-05 12:59,kiosk
2019-06-05 12:57,3,2,4,3,3,2,3,3,2,2019-06-05 12:59,kiosk
2019-06-05 12:59,4,3,4,3,2,2,1,3,1,2019-06-05 13:01,kiosk
2019-06-05 12:59,3,1,3,4,4,3,1,3,4,2019-06-05 13:01,kiosk
2019-06-05 13:01,2,2,1,1,1,4,3,1,4,2019-06-05 13:03,kiosk
2019-06-05 13:02,1,2,2,3,2,2,3,2,3,2019-06-05 13:04,kiosk
2019-06-05 13:04,3,3,3,3,2,3,3,3,4,2019-06-05 13:06,kiosk
2019-06-05 13:05,2,1,3,1,2,2,3,1,4,2019-06-05 13:07,kiosk
