"﻿Session start","Question 1","Question 2","Question 3","Question 4","Question 5","Question 6","Question 7","Question 8","Question 9","Question 10","Session end","Session source"
"2019-05-31 11:52",1,5,4,3,2,1,3,2,2,2,"2019-05-31 11:53",kiosk
"2019-05-31 12:01",1,5,5,5,5,5,1,1,1,1,"2019-05-31 12:02",kiosk
"2019-05-31 12:16",2,3,,,,,,,,,"2019-05-31 12:16",kiosk
"2019-05-31 12:57",3,3,5,3,1,3,1,2,4,2,"2019-05-31 12:58",kiosk
"2019-05-31 13:24",2,5,5,5,5,4,3,2,2,1,"2019-05-31 13:25",kiosk
"2019-05-31 13:40",,,,,,,,,,,"2019-05-31 13:43",kiosk
"2019-05-31 14:17",2,,,,,,,,,,"2019-05-31 14:20",kiosk
"2019-05-31 11:52",1,5,4,,,,,,,,"2019-05-31 15:16",kiosk
"2019-05-31 12:01",1,5,5,,,,,,,,"2019-05-31 15:56",kiosk
"2019-05-31 12:16",2,3,,,,,,,,,"2019-05-31 15:56",kiosk
"2019-05-31 12:57",3,3,5,2,1,5,2,1,1,1,"2019-05-31 17:27",kiosk
"2019-05-31 17:29",1,,,,,,,,,,"2019-05-31 17:29",kiosk
"2019-05-31 17:31",1,5,5,,,,,,,,"2019-05-31 17:31",kiosk
"2019-06-01 15:43",,,,,,,,,,,"2019-06-01 15:43",kiosk
,,,,,,,,,,,"2019-06-01 15:49",kiosk
,,,,,,,,,,,"2019-06-01 15:51",kiosk
,,,,,,,,,,,"2019-06-03 17:10",kiosk
,,,,,,,,,,,"2019-06-03 21:23",kiosk
"2019-06-03 22:59",,,,,,,,,,,"2019-06-03 23:02",kiosk
"2019-06-04 13:45",,,,,,,,,,,"2019-06-04 13:45",kiosk
"2019-06-04 13:45",,,,,,,,,,,"2019-06-05 09:36",kiosk
"2019-06-05 10:45",2,5,5,5,4,4,2,2,3,1,"2019-06-05 10:46",kiosk
"2019-06-05 12:42",1,,,,,,,,,,"2019-06-05 12:43",kiosk
"2019-06-05 13:49",1,4,4,,,,,,,,"2019-06-05 13:50",kiosk
"2019-06-05 13:56",2,5,5,5,5,5,2,2,,,"2019-06-05 13:59",kiosk
"2019-06-05 13:59",1,4,4,5,5,4,1,2,1,3,"2019-06-05 14:00",kiosk
